"Наявне населення - Рік, Регіон, Зміст , Тип поселення"

" "	" "	"Частка в населенні регіону, %"
" "	" "	" міські поселення"
"2017"
" "	"Україна"	69.2
" "	"Автономна Республіка Крим"	
" "	"Вінницька область"	50.9
" "	"Волинська область"	52.3
" "	"Дніпропетровська область"	83.6
" "	"Донецька область"	90.8
" "	"Житомирська область"	58.9
" "	"Закарпатська область"	37.0
" "	"Запорізька область"	77.2
" "	"Івано-Франківська область"	43.9
" "	"Київська область"	62.1
" "	"Кіровоградська область"	62.9
" "	"Луганська область"	86.9
" "	"Львівська область"	61.0
" "	"Миколаївська область"	68.3
" "	"Одеська область"	66.9
" "	"Полтавська область"	62.1
" "	"Рівненська область"	47.5
" "	"Сумська область"	68.7
" "	"Тернопільська область"	44.7
" "	"Харківська область"	80.7
" "	"Херсонська область"	61.2
" "	"Хмельницька область"	56.5
" "	"Черкаська область"	57.0
" "	"Чернівецька область"	43.1
" "	"Чернігівська область"	64.8
" "	"м. Київ"	100.0
" "	"м. Севастополь (міськрада)"	

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

